"John_KJV" "Luke_KJV" "Mark_KJV" "Matthew_KJV"
"and" 4.82350476589505 7.3634295847951 8.47949360411447 6.55294713730789
"the" 5.44149994762753 5.5052237942866 5.7431095872346 5.93227495355514
"of" 2.48245522153556 3.03018620609892 2.55835421337202 2.84158081405168
"he" 2.39342201738766 2.55214156289757 2.6704470526177 1.73957101840905
"him" 2.15774588876087 1.93916496395389 2.54516682051958 1.59601418679277
"that" 2.77574107049335 1.82350900188905 1.66820519583278 1.63823678432697
"unto" 1.97444223316225 1.54207949419793 1.69457998153765 1.83668299273771
"to" 1.16266890122552 2.09722811210918 1.7143610708163 1.59179192703935
"they" 1.12077092280297 1.31847796753923 1.90557826717658 1.29623374429995
"in" 1.18361789043679 1.38787154477813 1.12752208888303 1.28778922479311
"them" 0.95317900911281 1.16812521685493 1.49017539232494 1.13156561391657
"i" 2.21535560909186 0.867419715486333 0.639588553343004 0.886674548218206
"not" 1.55546244893684 0.925247696518755 0.876961624686799 1.07667623712211
"is" 1.19932963234524 0.959944485138209 0.995648160358697 1.22023306873839
"shall" 0.712265633183199 1.03319326111261 1.02861664248978 1.45245735517649
"a" 0.853671310359275 1.26836038397779 0.989054463932481 1.07245397736869
"said" 1.24122761076778 1.12571803076449 0.903336410391666 0.798007093396386
"for" 0.874620299570546 1.03704845984811 0.942898588948965 1.12734335416315
"his" 0.921755525295904 0.905971702841281 0.975867071080047 1.09356527613579
"ye" 1.22551586885933 0.740198157215004 0.758275089014902 1.11045431514947
"was" 0.947941761809993 1.16812521685493 0.778056178293551 0.641783482519845
"be" 0.518487482978946 0.971510081344693 0.811024660424634 1.11467657490289
"but" 1.04221221326071 0.674659778711593 0.8373994461295 1.00067556156055
"it" 0.707028385880381 0.848143721808859 0.962679678227614 0.950008444519507
"jesus" 1.34073530952132 0.385519873549481 0.639588553343004 0.726228677588245
"which" 0.686079396669111 1.05246925479008 0.395621785572992 0.654450261780105
"when" 0.523724730281764 0.693935772389067 0.758275089014902 0.730450937341665
"with" 0.460877762647952 0.697790971124561 0.890149017539232 0.582671845971964
"you" 0.837959568450822 0.61683179767917 0.382434392720559 0.662894781286945
"thou" 0.895569288781816 0.562859015382243 0.428590267704075 0.637561222766425
"me" 1.28312558919032 0.420216662168935 0.316497428458394 0.443337274109103
"man" 0.654655912852205 0.505031034349821 0.580245285507055 0.527782469177504
"have" 0.832722321148005 0.435637457110914 0.369246999868126 0.489782131396724
"into" 0.345658321985964 0.420216662168935 0.632994856916788 0.582671845971964
"all" 0.2670996124437 0.601411002737191 0.51430832124489 0.498226650903564
"this" 0.659893160155023 0.481899841936852 0.32309112488461 0.388447897314643
"then" 0.717502880486017 0.30456070010409 0.145061321376764 0.548893767944604
"were" 0.303760343563423 0.481899841936852 0.461558749835158 0.392670157068063
"came" 0.329946580077511 0.435637457110914 0.395621785572992 0.451781793615943
"my" 0.701791138577564 0.31227109757508 0.263747857048661 0.367336598547543
"as" 0.356132816591599 0.447203053317399 0.454965053408941 0.371558858300963
"had" 0.429454278831046 0.327691892517059 0.573651589080839 0.350447559533863
"come" 0.460877762647952 0.370099078607502 0.389028089146776 0.375781118054383
"son" 0.329946580077511 0.559003816646748 0.250560464196228 0.329336260766762
"from" 0.371844558500052 0.377809476078492 0.389028089146776 0.392670157068063
"saying" 0.209489892112706 0.40865106596245 0.336278517737043 0.506671170410404
"say" 0.272336859746517 0.350823084930028 0.369246999868126 0.494004391150144
"god" 0.429454278831046 0.478044643201357 0.336278517737043 0.232224286438102
"on" 0.350895569288782 0.339257488723544 0.408809178425425 0.375781118054383
"out" 0.240913375929611 0.370099078607502 0.474746142687591 0.380003377807803
"thee" 0.319472085471876 0.362388681136513 0.270341553474878 0.422225975342003
"there" 0.335183827380329 0.366243879872007 0.415402874851642 0.308224961999662
"will" 0.403268042316958 0.323836693781564 0.250560464196228 0.380003377807803
"one" 0.314234838169058 0.327691892517059 0.349465910589476 0.337780780273602
"things" 0.366607311197235 0.381664674813987 0.309903732032177 0.240668805944942
"are" 0.324709332774694 0.354678283665523 0.230779374917579 0.333558520520182
"thy" 0.1780664082958 0.385519873549481 0.290122642753528 0.380003377807803
"went" 0.28804860165497 0.30456070010409 0.316497428458394 0.295558182739402
"father" 0.659893160155023 0.165773545626277 0.125280232098114 0.253335585205202
"if" 0.429454278831046 0.21589112918771 0.230779374917579 0.312447221753082
"lord" 0.240913375929611 0.397085469755966 0.125280232098114 0.320891741259922
"what" 0.277574107049335 0.285284706426616 0.356059607015693 0.253335585205202
"by" 0.193778150204253 0.227456725394194 0.36265330344191 0.346225299780442
"hath" 0.398030795014141 0.296850302633101 0.184623499934063 0.173112649890221
"saith" 0.591808945218393 0.0385519873549482 0.316497428458394 0.198446208410741
"disciples" 0.340421074683147 0.134931955742319 0.303310035605961 0.299780442492822
"do" 0.282811354352152 0.235167122865184 0.276935249901095 0.253335585205202
